MSOA_code,Households
E02001682,3332
E02001683,3846
E02001684,2948
E02001685,3338
E02001686,3121
E02001687,5215
E02001688,3099
E02001689,3012
E02001690,3112
E02001691,3819
E02001692,2640
E02001693,2638
E02001694,2730
E02001695,2412
E02001696,4032
E02001697,3241
E02001698,3093
E02001699,2985
E02001700,4490
E02001701,2656
E02001702,3599
E02001703,2366
E02001704,3330
E02001705,3100
E02001706,2747
E02001707,3370
E02001708,3877
E02001709,3372
E02001710,4430
E02001711,4036
E02001712,3918
E02001713,4211
E02001714,3732
E02001715,4416
E02001716,2491
E02001717,2211
E02001718,2535
E02001719,3719
E02001720,3070
E02001721,4530
E02001722,4280
E02001723,2449
E02001724,3157
E02001725,4119
E02001726,4601
E02001727,3752
E02001728,4201
E02001729,3873
E02001730,4113
E02001731,4107
E02001732,2767
E02001733,5269
E02001734,3186
E02001735,2778
E02001736,5036
E02001737,3006
E02001738,2453
E02001739,3292
E02001740,2258
E02001741,3276
E02001742,2584
E02001743,3002
E02001744,2646
E02001745,2737
E02001746,3396
E02001747,2852
E02001748,2466
E02001749,2517
E02001750,2629
E02001751,2599
E02001752,2686
E02001753,2914
E02001754,2695
E02001755,3178
E02001756,3503
E02001757,2737
E02001758,2434
E02001759,2904
E02001760,3217
E02001761,2549
E02001762,2414
E02001763,2859
E02001764,3301
E02001765,2770
E02001766,2761
E02001767,3230
E02001768,3210
E02001769,3781
E02001770,3036
E02001771,2815
E02001772,2445
E02001773,2441
E02001774,2417
E02001775,2474
E02001776,3522
E02001777,2851
E02001778,2841
E02001779,2592
E02001780,2625
E02001781,2599
E02001782,3837
E02001783,3050
E02001784,2940
E02001785,3572
E02001786,3185
E02001787,2316
E02001788,2636
E02001789,2457
E02001790,2455
E02001791,2350
E02001792,2969
E02001793,3965
E02001794,3804
E02001795,3822
E02001796,4016
E02001797,2351
E02001798,3587
E02001799,4349
E02001800,2771
E02001801,2356
E02001802,2919
E02001803,2910
E02001804,2440
E02001805,2479
E02001806,3908
E02001807,2845
E02001808,2365
E02001809,2936
E02001810,3682
E02001811,4095
E02001812,4045
E02001813,4348
E02001814,2507
E02001815,3966
E02001816,3454
E02001817,3100
E02001818,3219
E02001819,3035
E02001820,3309
E02001821,2393
E02001822,3126
E02001823,2961
E02001824,3772
E02001825,3444
E02001826,2761
E02002483,2966
E02002484,4251
E02002485,3708
E02002486,2239
E02002487,2606
E02002488,2297
E02002489,3223
E02002490,2770
E02002491,2732
E02002492,2604
E02002493,2451
E02002494,3348
E02002495,2193
E02002496,3768
E02002497,2851
E02002498,3794
E02002499,3026
E02002500,2199
E02002501,2370
E02002502,4294
E02002503,2660
E02002504,3105
E02002505,2579
E02002506,2206
E02002507,2297
E02002508,2094
E02002509,2306
E02002510,2426
E02002511,3672
E02002512,2118
E02002513,3830
E02002514,3573
E02002515,2986
E02002516,2542
E02002517,2405
E02002518,4353
E02002519,3049
E02002520,5182
E02002521,2590
E02002522,2504
E02002523,2837
E02002524,2176
E02002525,3653
E02002526,2634
E02002527,2290
E02002528,2241
E02002529,2563
E02002530,2694
E02002531,3310
E02002532,2669
E02002533,2332
E02002534,2429
E02002535,3784
E02002536,4160
